"","NSC","NAME","FDA_STATUS","MOA","PUBCHEM_ID","SMILES","TOTAL_EXPS","TOTAL_EXPS_AFTER_QC"
"104942",104942,"Euparotin","","",5380731,"C\C=C(\C)/C(=O)OC1CC2(CO2)C3C(O)C=C(C)C3(O)C4OC(=O)C(=C)C14",1,1
"104943",104943,"Euparotin acetate","","",5281456,"C\C=C(\C)/C(=O)O[C@@H]1C[C@]2(CO2)[C@@H]3[C@H](OC(=O)C)C=C(C)[C@]3(O)[C@H]4OC(=O)C(=C)[C@H]14",2,2
"104960",104960,"[(E)-(3-Ethoxypyridin-2-yl)methylideneamino]thiourea","","",9562139,"CCOc1cccnc1\C=N\NC(=S)N",1,1
"105014",105014,"Cladribine","FDA approved","Ds|ADA",NA,"Nc1nc(Cl)nc2c1ncn2C3CC(O)C(CO)O3",6,5
"105023",105023,"rubiflavin","","",6450217,"",2,1
"105024",105024,"Mithramycin","FDA approved","Db|Rs",NA,"",1,1
"105131",105131,"Pycnamine",NA,NA,NA,"COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4",1,1
"105132",105132,"Deoxycamptothecin","","TOP1",266552,"CCC1C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O",2,2
"105307",105307,"ANM102934","","",5705391,"COc1cc(\C=C\[N+](=O)[O-])c(cc1OC)[N+](=O)[O-]",1,1
"105348",105348,"2-(2-Chloro-4,5-dimethoxyphenyl)-1-(1H-indol-3-yl)ethanone","","",266625,"COc1cc(Cl)c(CC(=O)c2c[nH]c3ccccc23)cc1OC",2,2
"105444",105444,"1-((4'-((1-Cyanocyclopentyl)amino)[1,1'-biphenyl]-4-yl)amino)cyclopentanecarbonitrile","","",266698,"N#CC1(CCCC1)Nc2ccc(cc2)c3ccc(NC4(CCCC4)C#N)cc3",1,1
"105509",105509,"6-Bromochroman-2-one","","",266737,"Brc1ccc2OC(=O)CCc2c1",1,1
"105546",105546,"riboprine(usan)",NA,NA,NA,"CC(=CCNc1ncnc2c1ncn2C3OC(CO)C(O)C3O)C",2,2
"105550",105550,"4-Nitro-2-(1H-1,2,4-triazol-5-yl)-1H-isoindole-1,3(2H)-dione","","",266770,"[O-][N+](=O)c1cccc2C(=O)N(C(=O)c12)c3nc[nH]n3",1,1
"105808",105808,"5,8-Quinolinedione, 6-amino-7-bromo-","","",266923,"NC1=C(Br)C(=O)c2ncccc2C1=O",3,2
"105827",105827,"thiosangivamycin",NA,NA,NA,"NC(=S)c1cn(C2OC(CO)C(O)C2O)c3ncnc(N)c13",2,2
"105900",105900,"4-dibenzo[b,d]thien-2-yl-4-oxobutanoic acid","","",266944,"OC(=O)CCC(=O)c1ccc2sc3ccccc3c2c1",1,1
"106139",106139,"N-[(E)-(5-Chloro-2-hydroxyphenyl)methylideneamino]-N'-[(Z)-(5-chloro-2-hydroxyphenyl)methylideneamino]pentanediamide","","",135509602,"Oc1ccc(Cl)cc1\C=N\NC(=O)CCCC(=O)N\N=C\c2cc(Cl)ccc2O",1,1
"106193",106193,"Fusarubin","","",73421,"COc1cc(O)c2C(=O)C3=C(CC(C)(O)OC3)C(=O)c2c1O",2,2
"106246",106246,"1-Methyl-3-[(Z)-2-nitroethenyl]indole","","",1551121,"Cn1cc(\C=C/[N+](=O)[O-])c2ccccc12",1,1
"106360",106360,"N-(1,3,7-Tribromo-9H-fluoren-2-yl)acetamide","","",267219,"CC(=O)Nc1c(Br)cc2c(Cc3cc(Br)ccc23)c1Br",1,1
"106399",106399,"cucurbitacin e",NA,NA,NA,"CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C",21,15
"106408",106408,"Anthramycin methyl ether","","",5351221,"CO[C@H]1Nc2c(O)c(C)ccc2C(=O)N3C=C(C[C@@H]13)\C=C\C(=O)N",6,2
"106442",106442,"2-Chloro-3-(3,5-dimethylmorpholin-4-yl)naphthalene-1,4-dione","","",267286,"CC1COCC(C)N1C2=C(Cl)C(=O)c3ccccc3C2=O",1,1
"106445",106445,"2-Chloro-3-[(2E)-2-[(4E)-4-[(3-chloro-1,4-dioxonaphthalen-2-yl)hydrazinylidene]-2,3-dihydrophthalazin-1-ylidene]hydrazinyl]naphthalene-1,4-dione","","",135509607,"ClC1=C(N\N=C/2\NN\C(=N\NC3=C(Cl)C(=O)c4ccccc4C3=O)\c5ccccc25)C(=O)c6ccccc6C1=O",1,1
"106461",106461,"2,5-Dipyridin-2-yl-1,3,4-thiadiazole","","",267294,"c1ccc(nc1)c2nnc(s2)c3ccccn3",1,1
"106486",106486,"laurusin",NA,NA,NA,"OCC1OC(C(O)C1O)c2n[nH]c3C(=O)N=CNc23",1,1
"106531",106531,"Urea, 1-(2-chloroethyl)-3-(3,4-dichlorophenyl)-1-nitroso...","","",267343,"ClCCN(N=O)C(=O)Nc1ccc(Cl)c(Cl)c1",2,1
"106553",106553,"sapindoside a",NA,NA,NA,"CC1OC(OC2C(O)C(O)COC2OC3CCC4(C)C(CCC5(C)C4CC=C6C7CC(C)(C)CCC7(CCC56C)C(=O)O)C3(C)CO)C(O)C(O)C1O",1,1
"106554",106554,"Musennin","","",267361,"CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC7OCC(O)C(O)C7OC8OCC(O)C(OC9OC(CO)C(O)C(O)C9O)C8O)C(C)(C)C5CCC34C)C2C1)C(=O)O",1,1
"106557",106557,"5.alpha.,25D-Spirostan-3.beta.-ol glycoside",NA,NA,NA,"",1,1
"106640",106640,"(3-Nitrophenyl)(phenyl)iodanium bromide","","",24190300,"[O-][N+](=O)c1cccc([I+]c2ccccc2)c1",1,1
"106648",106648,"Bis(2-methoxy-5-nitrophenyl)iodanium;bromide","","",24190303,"COc1ccc(cc1[I+]c2cc(ccc2OC)[N+](=O)[O-])[N+](=O)[O-]",1,1
"106677",106677,"senecionine n-oxide",NA,NA,NA,"C\C=C/1\C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23",1,1
"106723",106723,"STK032801","","",135509615,"Oc1ccccc1\C=N\NC(=O)C(O)(c2ccccc2)c3ccccc3",1,1
"106859",106859,"4-Penten-1-ol, 5-(2-naphthalenyl)-4-nitro-, acetate (est...","","",5380900,"CC(=O)OCCC\C(=C/c1ccc2ccccc2c1)\[N+](=O)[O-]",1,1
"106907",106907,"LS-158973","","",267555,"BrCCN(CCBr)C(=O)Nc1cccc2ccccc12",1,1
"106909",106909,"Estra-1,3,5[10]-trien-17-one, 3-[[4,6-bis(1-aziridinyl)-...","","",267557,"C[C@]12CC[C@H]3[C@@H](CCc4cc(Oc5nc(nc(n5)N6CC6)N7CC7)ccc34)[C@@H]1CCC2=O",1,1
"106969",106969,"Centaureidin","","",5315773,"COC1=C(Oc2cc(O)c(OC)c(O)c2C1=O)c3ccc(OC)c(O)c3",1,1
"106995",106995,"lomofungin",NA,NA,NA,"COC(=O)c1ccc(O)c2nc3c(C=O)c(O)cc(O)c3nc12",2,2
"107043",107043,"A817740","","",267581,"COc1ccc(NC2=CC(=O)C(=O)c3ccccc23)nn1",1,1
"107067",107067,"Tirandamycin",NA,NA,NA,"C[C@H](\C=C(/C)\C=C\C(=C/1\C(=O)CNC1=O)\O)[C@H]2O[C@@]3(C)O[C@@H]([C@@H]2C)C(=O)[C@@H]4O[C@]34C",1,1
"107124",107124,"Camptothecin Derivative","","TOP1",97226,"CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(O)ccc5nc34)C2=O",9,8
"107129",107129,"3-Hydroxycard-20(22)-enolide","","",267603,"CC12CCC(O)CC1CCC3C4CCC(C5=CC(=O)OC5)C4(C)CCC23",2,2
"107237",107237,"10-(1-Benzylpiperidin-3-yl)-2-chlorophenothiazine;(Z)-but-2-enedioic acid","","",5380916,"Clc1ccc2Sc3ccccc3N(C4CCCN(Cc5ccccc5)C4)c2c1",1,1
"107392",107392,"5-HP","","Ds",135453292,"NC(=S)N\N=C\c1ccc(O)cn1",11,7
"107413",107413,"Securinin",NA,NA,NA,"O=C1OC23CC(C=CC2=C1)N4CCCCC34",1,1
"107432",107432,"solypertine tartrate(usan)",NA,NA,NA,"COc1ccccc1N2CCN(CCc3c[nH]c4cc5OCOc5cc34)CC2",1,1
"107512",107512,"7h-pyrrolo[2,3-d]pyrimidine-5-carboxamidoxime, 4-amino-7...","","",5369182,"Nc1ncnc2c1c(cn2C3OC(CO)C(O)C3O)C(=N)NO",2,1
"107529",107529,"pararosaniline pamoate","","",24040,"Nc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3.OC(=O)c4cc5ccccc5c(Cc6c(O)c(cc7ccccc67)C(=O)O)c4O",2,2
"107658",107658,"Cytochalasin B",NA,NA,NA,"C[C@@H]1CCC[C@@H](O)\C=C\C(=O)O[C@]23[C@@H](\C=C\C1)[C@H](O)C(=C)[C@@H](C)[C@H]2[C@H](Cc4ccccc4)NC3=O",12,12
"107660",107660,"Actinomycin Pip T.beta.","","",5458205,"[R]C(=O)NC1C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C(=O)C(NC1=O)C(C)C.[R]C(=O)NC3C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C4CCCCN4C(=O)C(NC3=O)C(C)C.CC5=C6Oc7c(C)cccc7N=C6C=C(N)C5=O",2,1
"107680",107680,"Flumethasone Pivalate",NA,NA,NA,"CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C",1,1
"107818",107818,"[(Z)-(2,6-Dichloro-3-nitrophenyl)methylideneamino] N-(3,4-dichlorophenyl)carbamate","","",54604080,"[O-][N+](=O)c1ccc(Cl)c(\C=N\OC(=O)Nc2ccc(Cl)c(Cl)c2)c1Cl",1,1
"108018",108018,"14-Chelidoninone","","",268004,"CN1C2C(C(O)Cc3cc4OCOc4cc23)c5ccc6OCOc6c5C1=O",1,1
"108165",108165,"navan",NA,NA,NA,"CN(C)S(=O)(=O)c1ccc2Sc3ccccc3\C(=C/CCN4CCN(C)CC4)\c2c1",2,1
"108225",108225,"Epitope ID:167836","","",97248,"CN(C)CCSS(=O)(=O)O",1,1
"108608",108608,"AK550028","","",135451589,"NCC1OC(C(O)C1O)n2cnc3C(=O)NC(=Nc23)N",2,1
"109072",109072,"3,3-Dibutyl-6-nitro-2,4,3-benzodioxastannepine-1,5-dione","","",16683294,"CCCC[Sn]1(CCCC)OC(=O)c2cccc(c2C(=O)O1)[N+](=O)[O-]",2,2
"109084",109084,"2-[2-(Aziridin-1-yl)ethoxy]quinoline","","",268715,"C(CN1CC1)Oc2ccc3ccccc3n2",1,1
"109128",109128,"16-(1-aziridinyl)-12,20-dioxopregnan-3-yl acetate","","",268745,"CC(=O)OC1CCC2(C)C(CCC3C4CC(C(C(=O)C)C4(C)C(=O)CC23)N5CC5)C1",1,1
"109131",109131,"10,13-dimethyl-17-(2-(6-(methylthio)-9H-purin-9-yl)acety...","","",268748,"CSc1ncnc2c1ncn2CC(=O)C3CCC4C5CCC6=CC(=O)CCC6(C)C5CCC34C",2,1
"109154",109154,"(E)-1,3-Diphenyl-2-(piperidin-1-ylmethyl)prop-2-en-1-one","","",6147837,"O=C(\C(=C/c1ccccc1)\CN2CCCCC2)c3ccccc3",2,2
"109155",109155,"2-[(Tert-butylamino)(phenyl)methyl]-1-phenylprop-2-en-1-one","","",268761,"CC(C)(C)NC(C(=C)C(=O)c1ccccc1)c2ccccc2",1,1
"109156",109156,"",NA,NA,NA,"CC(C)(C)NC\C(=C/c1ccccc1)\C(=O)c2ccccc2",1,1
"109188",109188,"4-Aminobenzoic acid; 7H-purine-2,6-diamine; sulfuric acid","","",3246385,"Nc1ccc(cc1)C(=O)O.Nc2nc(N)c3[nH]cnc3n2.OS(=O)(=O)O",1,1
"109229",109229,"Asparaginase","FDA approved","AM|Pi",NA,"",97,80
"109248",109248,"1-(3-((Dicyclohexylamino)methyl)-2,4-dihydroxyphenyl)ethanone","","",268806,"CC(=O)c1ccc(O)c(CN(C2CCCCC2)C3CCCCC3)c1O",1,1
"109254",109254,"n,n-Bis{[(4-chlorophenyl)sulfanyl]methyl}-2,4,4-trimethylpentan-2-amine","","",268812,"CC(C)(C)CC(C)(C)N(CSc1ccc(Cl)cc1)CSc2ccc(Cl)cc2",1,1
"109292",109292,"",NA,NA,NA,"CC#CC#CC1=CC=CC(=O)O1",1,1
"109351",109351,"daunomycinon",NA,NA,NA,"COc1cccc2C(=O)c3c(O)c4CC(O)(CC(O)c4c(O)c3C(=O)c12)C(=O)C",6,2
"109440",109440,"Theasapogenol A",NA,NA,NA,"CC1(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@@H](O)[C@@]2(CO)[C@@H](O)[C@@H]1O",2,1
"109451",109451,"2-Chloro-6-((2-chloro-4-methyl-6-quinolinyl)methyl)-4-methylquinoline","","",268954,"Cc1cc(Cl)nc2ccc(Cc3ccc4nc(Cl)cc(C)c4c3)cc12",1,1
"109509",109509,"17-[1-[2-(Dimethylamino)ethylamino]ethyl]-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-ol","","",268993,"CC(NCCN(C)C)C1CCC2C3CCc4cc(O)ccc4C3CCC12C",2,1
"109555",109555,"ddug",NA,NA,NA,"C\C(=N\NC(=N)N)\c1ccc(NC(=O)Nc2ccc(cc2)\C(=N\NC(=N)N)\C)cc1",2,2
"109593",109593,"3-((1,3-Benzodioxol-5-ylmethylene)amino)-6H-benzo[c]chromen-6-one","","",269048,"O=C1Oc2cc(ccc2c3ccccc13)\N=C\c4ccc5OCOc5c4",1,1
"109724",109724,"Ifosfamide","FDA approved","A7|AlkAg",NA,"ClCCNP1(=O)OCCCN1CCCl",49,3
"109825",109825,"",NA,NA,NA,"NC1(CSSC1)C(=O)O",1,1
"109834",109834,"",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(OCc3cccc(N)c3)c2",2,2
"109836",109836,"",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(OCc3cccc(c3)[N+](=O)[O-])c2",2,2
"109838",109838,"",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(\C=C\C=C\c3cccc(c3)[N+](=O)[O-])c2",1,1
"109874",109874,"Benzimate","Clinical trial","TUBB",25429,"COC(=O)Nc1nc2ccccc2[nH]1",2,2
"110101",110101,"2-(Dodecylsulfanyl)-1,4-benzoquinone","","",269320,"CCCCCCCCCCCCSC1=CC(=O)C=CC1=O",2,2
"110275",110275,"9205AB","","",269325,"Cc1nc(N)nc2ccccc12",2,1
"110363",110363,"2,4-dichlorobenzyltriphenylphosphonium chloride",NA,NA,NA,"Clc1ccc(C[P+](c2ccccc2)(c3ccccc3)c4ccccc4)c(Cl)c1",1,1
"110383",110383,"Naphtho[1,2-c]quinolizinium, 13-methyl-, chloride","","",21144417,"Cc1cc2c3ccccc3ccc2[n+]4ccccc14",2,2
"110407",110407,"Nitromifene citrate",NA,NA,NA,"COc1ccc(cc1)\C(=C(/c2ccccc2)\[N+](=O)[O-])\c3ccc(OCCN4CCCC4)cc3",2,2
"110602",110602,"Phosphonium, triphenyl-1,2-propadienyl-, bromide (9CI)",NA,NA,NA,"C=C=C[P+](c1ccccc1)(c2ccccc2)c3ccccc3",1,1
"110609",110609,"Allyltriphenylphosphonium bromide",NA,NA,NA,"C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3",1,1
"110630",110630,"N-[(E)-(2-Hydroxynaphthalen-1-yl)methylideneamino]pentanamide","","",135509648,"CCCCC(=O)N\N=C\c1c(O)ccc2ccccc12",2,2
"110800",110800,"Urea, 1-(2-chloroethyl)-1-nitroso-3-(thiochroman-4-yl)-","","",98351,"ClCCN(N=O)C(=O)NC1CCSc2ccccc12",2,1
"111041",111041,"2,8(1H,5H)-Quinolinedione,7-amino-5-imino-","","",269624,"NC1=CC(=N)C2=C(NC(=O)C=C2)C1=O",1,1
"111062",111062,"",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(OCCOc3cccc(c3)[N+](=O)[O-])c2",2,2
"111118",111118,"Bis(4-chlorophenyl) carbonotrithioate","","",269665,"Clc1ccc(SC(=S)Sc2ccc(Cl)cc2)cc1",1,1
"111119",111119,"2H-1-Benzopyran-3-carboxylic acid, 5,7-dimethoxy-2-oxo-,...","","",269666,"CCOC(=O)C1=Cc2c(OC)cc(OC)cc2OC1=O",1,1
"111135",111135,"4-[4-(Diethylamino)-2-methylphenyl]imino-N-(4-methylsulfonylphenyl)-1-oxonaphthalene-2-carboxamide","","",269678,"CCN(CC)c1ccc(\N=C/2\C=C(C(=O)Nc3ccc(cc3)S(=O)(=O)C)C(=O)c4ccccc24)c(C)c1",1,1
"111180",111180,"Acetylcysteine",NA,NA,NA,"CC(=O)NC(CS)C(=O)O",2,1
"111533",111533,"Methoxycamptothecin","","TOP1",NA,"CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(OC)ccc5nc34)C2=O",3,3
"111556",111556,"Naphthalene, 2-(2-nitrovinyl)-",NA,NA,NA,"[O-][N+](=O)\C=C\c1ccc2ccccc2c1",2,2
"111580",111580,"CBDivE_010867","","",269887,"O=C1Nc2ccccc2/C/1=N/N=C\3/NC=CC=C3",1,1
"111581",111581,"indole-2,3-dione, 3-[(o-nitrophenyl)hydrazone]","","",3734796,"[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3ccccc23",2,2
"111650",111650,"4-(1-Adamantylsulfonyl)aniline","","",269930,"Nc1ccc(cc1)S(=O)(=O)C23CC4CC(CC(C4)C2)C3",1,1
"111654",111654,"4-(Tricyclo[3.3.1.13,7]dec-1-ylsulfanyl)aniline","","",269934,"Nc1ccc(SC23CC4CC(CC(C4)C2)C3)cc1",1,1
"111702",111702,"p-Dioxane-2-methanol, 3,5-dihydroxy-6-[6-(methylthio)-9H...","","",269951,"CSc1ncnc2c1ncn2C3OC(CO)C(O)OC3O",2,2
"112125",112125,"tptz (iron reagent)","","",77258,"c1ccc(nc1)c2nc(nc(n2)c3ccccn3)c4ccccn4",1,1
"112147",112147,"[16-(Aziridin-1-ylmethyl)-10,13-dimethyl-17-oxo-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-yl] acetate","","",270053,"CC(=O)OC1CCC2(C)C3CCC4(C)C(CC(CN5CC5)C4=O)C3CC=C2C1",2,2
"112152",112152,"Plumericin",NA,NA,NA,"COC(=O)C1=CO[C@@H]2O[C@H]3\C(=C/C)\C(=O)O[C@]34C=C[C@H]1[C@H]24",6,3
"112166",112166,"Cucurbitacin K",NA,NA,NA,"CC(C)(O)C(O)CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C",8,4
"112167",112167,"elatericin b","","",5281321,"CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C",8,4
"112200",112200,"2,5-Dibromo-3,6-dimethylbenzene-1,4-diol;2,5-dibromo-3,6-dimethylcyclohexa-2,5-diene-1,4-dione","","",270077,"CC1=C(Br)C(=O)C(=C(Br)C1=O)C.Cc2c(O)c(Br)c(C)c(O)c2Br",2,2
"112257",112257,"fenakrom blue xr",NA,NA,NA,"[Na+].Cc1cc(cc(C(=O)O)c1O)C2(OS(=O)(=O)c3ccccc23)c4cc(C)c(O)c(c4)C(=O)O",1,1
"112535",112535,"s-Triazine, 4,6-diamino-1,2-dihydro-2,2-dimethyl-1-[m-[2...",NA,NA,NA,"CC1(C)N=C(N)N=C(N)N1c2cccc(OCCOc3ccc(cc3)[N+](=O)[O-])c2",1,1
"112751",112751,"4-Chloro-2-((3-quinolinylimino)methyl)phenol","","",270355,"Oc1ccc(Cl)cc1\C=N\c2cnc3ccccc3c2",2,2
"112758",112758,"Rubomycin",NA,NA,NA,"COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C",2,2
"112796",112796,"1-Benzyl-2-(benzyloxy)imidazolidine","","",270389,"C(OC1NCCN1Cc2ccccc2)c3ccccc3",1,1
"112846",112846,"quinaspar",NA,NA,NA,"Nc1nc(N)c2cc(CNc3ccc(cc3)C(=O)NC(CC(=O)O)C(=O)O)ccc2n1",2,2
"112849",112849,"AT-051/43422431","","",6474733,"NC(=N)Nc1ccc(\C=C/2\C=Cc3ccccc23)cc1",2,1
"112929",112929,"sennoside a (8ci)",NA,NA,NA,"OCC1OC(Oc2cccc3C(C4c5cccc(OC6OC(CO)C(O)C(O)C6O)c5C(=O)c7c(O)cc(cc47)C(=O)O)c8cc(cc(O)c8C(=O)c23)C(=O)O)C(O)C(O)C1O",1,1
"112938",112938,"4,4,4-Triphenylbutanoic acid","","",270495,"OC(=O)CCC(c1ccccc1)(c2ccccc2)c3ccccc3",2,1
"112960",112960,"Ethyl N-hydroxy-N-[4-[(E)-2-phenylethenyl]phenyl]carbamate","","",6304618,"CCOC(=O)N(O)c1ccc(\C=C\c2ccccc2)cc1",2,2
"112965",112965,"BRD-K68192143-001-01-5","","",5976008,"ON(C(=O)CF)c1ccc(\C=C\c2ccccc2)cc1",2,2
"113053",113053,"J3.522.543I","","",6163542,"COC(=O)\C=C\C=C(c1ccccc1)c2ccccc2",1,1
"113112",113112,"Phosphinic amide, P,P-bis(2,2-dimethyl-1-aziridinyl)-N-2...","","",270614,"CC1(C)CN1P(=O)(Nc2ncccn2)N3CC3(C)C",1,1
"113130",113130,"Isopropyltriphenylphosphonium bromide","","",2795292,"CC(C)[P+](c1ccccc1)(c2ccccc2)c3ccccc3",1,1
"113136",113136,"Mansonone F","","",94304,"CC1=COC2=C(C)C(=O)C(=O)c3c(C)ccc1c23",2,2
"113220",113220,"Benzenesulfonyl fluoride, 4-[[3-[4-(4,6-diamino-2,2-dime...","","",270636,"CC1(C)N=C(N)N=C(N)N1c2ccc(CCC(=O)Nc3ccc(cc3)S(=O)(=O)F)cc2",2,2
"113237",113237,"",NA,NA,NA,"CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC4N(CCc5cc(OC)c(OC)cc45)C(=O)C(N)Cc6ccccc6",1,1
"113423",113423,"Baker's Antifol","","",64840,"Cc1cc(NC(=O)CCc2ccc(cc2)N3C(=NC(=NC3(C)C)N)N)ccc1S(=O)(=O)F",2,2
"113452",113452,"3-(3-(3-Cycloheptylphenyl)propyl)-2-hydroxynaphthalene-1,4-dione","","",270723,"OC1=C(CCCc2ccc(cc2)C3CCCCCC3)C(=O)c4ccccc4C1=O",2,2
"113455",113455,"3-(3-(3-Cyclohexylphenyl)propyl)-2-hydroxynaphthalene-1,4-dione","","",270725,"OC1=C(CCCc2ccc(cc2)C3CCCCC3)C(=O)c4ccccc4C1=O",1,1
"113497",113497,"Gedunin",NA,NA,NA,"CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC45C13C)c6cocc6",1,1
"113764",113764,"U 32027","","",270800,"O=C1NC(Nc2ccccc12)c3ccccc3",3,2
"113802",113802,"2-(4-Chlorophenyl)-1-hydroxy-1h-indole-3-carbonitrile","","",270811,"On1c(c2ccc(Cl)cc2)c(C#N)c3ccccc13",1,1
"113908",113908,"3-[3-[4-(4,6-Diamino-2,2-dimethyl-1,3,5-triazin-1-yl)phenyl]propanoylamino]benzenesulfonyl fluoride;ethanesulfonic acid","","",270820,"CC1(C)N=C(N)N=C(N)N1c2ccc(CCC(=O)Nc3cccc(c3)S(=O)(=O)F)cc2",1,1
"113918",113918,"4-[4-[4-(4,6-Diamino-2,2-dimethyl-1,3,5-triazin-1-yl)phenyl]butanoylamino]benzenesulfonyl Fluoride","","",270832,"CC1(C)N=C(N)N=C(N)N1c2ccc(CCCC(=O)Nc3ccc(cc3)S(=O)(=O)F)cc2",2,2
"113926",113926,"rifa","","",135398735,"CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O",1,1
"113943",113943,"6-Bromosangivamycin",NA,NA,NA,"NC(=O)c1c(Br)n(C2OC(CO)C(O)C2O)c3ncnc(N)c13",3,3
"113951",113951,"6-Bromotoyocamycin",NA,NA,NA,"Nc1ncnc2c1c(C#N)c(Br)n2C3OC(CO)C(O)C3O",3,2
"114016",114016,"5,11-Dimethyl-3,4,7,8,9,10-hexahydro[1]benzofuro[2,3-g]isoquinoline","","",270883,"Cc1c2CCN=Cc2c(C)c3c4CCCCc4oc13",1,1
"114340",114340,"ophiobolin",NA,NA,NA,"CC1CC(OC12CCC3(C)CC4C(C(=O)CC4(C)O)\C(=C/CC23)\C=O)C=C(C)C",2,2
"114341",114341,"Caerulomycin","","",135478684,"COc1cc(\C=N/O)nc(c1)c2ccccn2",2,2
"114345",114345,"u 27744","","",151719,"COC(=O)C1c2cc3C(=O)c4c5OC6OC(C)(C(O)C(C6O)N(C)C)c5cc(O)c4C(=O)c3c(O)c2CCC1(C)O",1,1
"114346",114346,"Diethyl(acetylamino)({6-[bis(2-hydroxyethyl)amino]-1h-indol-3-yl}methyl)propanedioate","","",270973,"CCOC(=O)C(Cc1c[nH]c2cc(ccc12)N(CCO)CCO)(NC(=O)C)C(=O)OCC",2,1
"114381",114381,"3,5-Dibromo-4-[2-(8-oxoquinolin-5-ylidene)hydrazinyl]benzenesulfonamide","","",271001,"NS(=O)(=O)c1cc(Br)c(N=Nc2ccc(O)c3ncccc23)c(Br)c1",1,1
"114382",114382,"SC-60646","","",419381,"Cc1cc(Nc2ccc(cc2)N=Nc3ccc(O)c4ncccc34)nc(C)n1",2,1
"114384",114384,"4-[(8-Hydroxyquinolin-5-yl)diazenyl]-N-pyridin-2-ylbenzenesulfonamide","","",419383,"Oc1ccc(N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)c4cccnc14",2,2
"114512",114512,"Acetyloxy-[[5-(acetyloxymercuriomethyl)-2,5-dimethyl-1,4-dioxan-2-yl]methyl]mercury","","",16683716,"CC(=O)O[Hg]CC1(C)COC(C)(C[Hg]OC(=O)C)CO1",2,2
"114514",114514,"4-[(2,4-Diaminopyrimidin-5-yl)methyl-methylamino]benzoic acid;hydrobromide","","",24190776,"CN(Cc1cnc(N)nc1N)c2ccc(cc2)C(=O)O",1,1
"114567",114567,"Eupachlorin","","",5458217,"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(O)C=C(C)C2(O)C3OC(=O)C(=C)C13",2,2
"114568",114568,"Eupachlorin acetate","","",5458218,"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(OC(=O)C)C=C(C)C2(O)C3OC(=O)C(=C)C13",2,2
"114570",114570,"Eupachloroxin","","",5917065,"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(O)C3OC3(C)C2(O)C4OC(=O)C(=C)C14",1,1
